title,type,genre,platform,rating,mood,notes
The Office,Show,Comedy,Netflix,8,light/funny,"Perfect comfort watch"
Friends,Show,Comedy,Netflix,10,funny,"Good Comedy,bonding of friends"
Emily in Paris,Show,Romance,Netflix,9,light hearted,"Explores different countries,High Fashion,good story"
His & Hers,Show,Thriller,Netflix,7,thrilling,"Investigative thriller"
The Raja Saab,Movie,Horror/Comedy/Fantasy,Hotstar,1,silly,"SenselessMovie"
Baahubali: The Epic,Movie,Action-Drama,Netflix,7,gripping,"War,Good story,Action"
Dhurandhar,Movie,Action/Crime,Netflix,7,tense,"fictional espionage thriller"
Sooryavansham,Movie,Action/Drama,Prime,9,inspiring,"Love the story and how hero becomes rich just by true hardwork."
3 idiots,Movie,Comedy/Romance,Prime,10,feel-good,"teaches us to chase excellence instead of success"
Suits,Show,Drama,Netflix,9,gripping,"courtroom drama"
Nari Nari Naduma Murari,Movie,Drama,Prime,5,average,"Nothing new"
World Famous Lover,Movie,Drama,Prime,1,disappointing,"Very disconnected Movie"
Olympus Has Fallen,Movie,Action/Thriller,Prime,7,Gripping,"suspenseful and thrilling"
DJ Tillu,Movie,Comedy/Action,Prime,8,Fun & gripping," Good plot twists and comedy"
Karthikeya 2,Movie,Mystery/Adventure,Prime,6,curious,"Interesting concept but dragged in the middle"
Adipurush,Movie,Mythology/Action,Prime,3,disappointing,"Poor VFX ruined a great story concept"
Money Heist,Show,Crime/Thriller,Netflix,10,gripping,"Brilliant heist planning,loved every season"
Pushpa,Movie,Action/Drama,Prime,9,intense,"Raw and powerful,Allu Arjun was outstanding"
KGF Chapter 2,Movie,Action/Drama,Prime,9,epic,"Massive scale,loved the rise of Rocky"
Manifest,Show,Mystery/Thriller,Netflix,8,mind-bending,"Keeps you hooked,love the mystery element"
